6.485509015680818168e-14,2.112383478768408483e-32,1.000000000000000000e+00
7.709268675369120027e-15,1.959323538788245725e-39,1.000000000000000000e+00
1.177769619971513748e-03,9.988221526145935059e-01,1.130561533280172171e-09
9.999998807907104492e-01,9.605577844240542618e-08,5.927364710167637440e-10
9.999996423721313477e-01,1.058117415908554904e-08,4.081795452748337993e-07
7.160265713679336841e-09,3.286620491445697702e-33,1.000000000000000000e+00
9.988464117050170898e-01,1.153548480942845345e-03,7.817895636419436300e-11
9.948157668113708496e-01,4.983216058462858200e-03,2.010073658311739564e-04
9.999941587448120117e-01,5.857627911609597504e-06,4.040145564561566094e-14
1.000000000000000000e+00,4.866824667435370219e-18,2.125035021097299626e-22
9.999996423721313477e-01,3.540854152106476249e-07,6.952488064426720626e-12
8.087500929832458496e-01,1.176232217403594404e-05,1.912382245063781738e-01
3.333177864551544189e-01,6.666761040687561035e-01,6.072125415812479332e-06
9.920154809951782227e-01,6.847504992038011551e-03,1.137053011916577816e-03
1.540950834751129150e-01,8.459048271179199219e-01,4.743214887525937229e-08
1.000000000000000000e+00,1.808431720149749423e-39,1.151155362405628570e-15
1.000000000000000000e+00,7.077763397068947970e-13,1.983846133143650139e-19
9.999632835388183594e-01,3.673512037494219840e-05,2.178840041722196474e-08
9.999951124191284180e-01,2.493298097760998644e-06,2.411508603472611867e-06
1.000000000000000000e+00,1.983007924533097821e-10,6.045332420420712616e-14
1.000000000000000000e+00,2.651584785073879402e-10,1.135280244438408872e-17
9.998871088027954102e-01,1.128571966546587646e-04,2.677125827878906739e-13
9.997431635856628418e-01,2.567820483818650246e-04,1.951725003898202683e-18
1.000000000000000000e+00,1.925416511611936082e-14,4.347113044268713312e-17
1.000000000000000000e+00,1.723163701107168947e-24,5.082307458995766192e-14
1.000000000000000000e+00,3.001608293515256598e-14,7.814193736521701794e-09
1.000000000000000000e+00,3.185239022546063406e-15,3.435389610029090891e-16
1.000000000000000000e+00,1.584458120262866032e-09,3.075647070360787438e-09
1.000000000000000000e+00,7.920871519480386972e-20,2.567209314786020181e-19
1.000000000000000000e+00,3.595690967195253052e-10,7.431722141656275399e-20
9.999141693115234375e-01,1.719805004540830851e-05,6.860096618765965104e-05
8.826827257871627808e-02,9.117316603660583496e-01,1.270254301743989345e-08
8.266348838806152344e-01,1.495331525802612305e-01,2.383199706673622131e-02
1.000000000000000000e+00,2.872951315662322126e-15,1.040738690981941579e-18
1.000000000000000000e+00,3.884357945388640451e-35,2.189032954902359052e-09
9.428524374961853027e-01,4.575173819815626496e-16,5.714755505323410034e-02
1.000000000000000000e+00,4.981285422126583713e-34,7.999839728034681928e-16
1.023469958454370499e-02,9.014700607084397133e-16,9.897652864456176758e-01
1.902948770782231236e-10,1.401631050435284837e-27,1.000000000000000000e+00
5.710396799258887768e-04,1.442563273879067818e-23,9.994289278984069824e-01
1.036787034536246210e-05,9.062802549367784781e-16,9.999896287918090820e-01
9.999362230300903320e-01,6.379962724167853594e-05,2.649682917521545278e-09
1.000000000000000000e+00,1.035954080930159162e-25,1.522077596817780184e-19
7.678676774958148599e-05,7.768912883334655198e-19,9.999232292175292969e-01
1.000000000000000000e+00,2.198704831076663327e-15,1.175707751435347345e-20
1.092615444213151932e-02,2.697462085423506953e-19,9.890738129615783691e-01
7.548239827156066895e-01,2.451759725809097290e-01,9.553011715013326466e-09
1.061960533261299133e-01,1.847065881453774731e-32,8.938038945198059082e-01
5.522504328836497223e-12,2.020700943812818022e-32,1.000000000000000000e+00
3.359793305216119004e-23,1.401298464324817071e-45,1.000000000000000000e+00
